text_weight,max_text_features,min_df,ngram_range,extraction_time,num_games,text_features_count,categorical_features_count,combined_features_count,avg_similarity,successful_queries,total_queries,query_time,avg_query_time
0.6,3000,5,"(1, 2)",4.226618766784668,21415,3000,213,3213,0.42785994133925165,5,5,0.1379990577697754,0.027599811553955078
0.6,5000,5,"(1, 2)",4.8347063064575195,21415,5000,213,5213,0.6245134477262252,5,5,0.10827875137329102,0.021655750274658204
0.7,3000,5,"(1, 2)",4.961910009384155,21415,3000,213,3213,0.37190912119908254,5,5,0.12503600120544434,0.025007200241088868
0.7,5000,5,"(1, 2)",4.190307140350342,21415,5000,213,5213,0.31268129697652836,5,5,0.12868380546569824,0.02573676109313965
0.8,3000,5,"(1, 2)",4.322520971298218,21415,3000,213,3213,0.3940931552156385,5,5,0.133836030960083,0.026767206192016602
0.8,5000,5,"(1, 2)",4.367597818374634,21415,5000,213,5213,0.2852113579165866,5,5,0.13185405731201172,0.026370811462402343
